modelrun_id,modelrun_alias,geography,area_detail,year,jobs,job_spaces,job_spaces_vacant,job_spaces_vacant_percent,jobs_office,job_spaces_office,job_spaces_office_vacant,job_spaces_office_vacant_percent
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,32.0,2023,27354.0,65528.0,52928.2,0.8077188377487485,18842.0,9731.4,1044.3999999999999,0.10732268738311034
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,33.0,2023,58393.0,135808.6,108304.8,0.7974811609868594,34787.0,19827.4,3458.0,0.17440511615239515
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,34.0,2023,40609.0,77732.0,58399.0,0.7512864714660629,24750.0,13571.4,1856.8,0.13681713014132663
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Alameda,2023,895403.0,1293613.4,816243.6,0.6309795492223566,444868.0,236362.0,10443.800000000001,0.04418561359270949
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Contra Costa,2023,413715.0,667417.4,457439.39999999997,0.6853872853779358,202871.0,107501.40000000001,5006.4,0.0465705562904297
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Marin,2023,126356.0,279068.6,219632.0,0.7870179590251286,78379.0,43130.200000000004,6359.2,0.14744193163954722
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Napa,2023,66962.0,117855.2,81945.8,0.6953091590358338,6684.0,4287.2,240.8,0.05616719537227095
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,San Francisco,2023,739456.0,661981.6,273992.0,0.4138967004520972,510164.0,296701.4,38012.8,0.1281180338212088
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,San Mateo,2023,415601.0,516059.2,310113.0,0.6009252426853353,237977.0,135411.4,9836.2,0.07263937895923092
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Santa Clara,2023,1100158.0,1408278.4,838351.2,0.5953021788873564,511333.0,288953.60000000003,19579.4,0.0677596679882168
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Solano,2023,126120.0,225988.0,161822.0,0.7160645698001664,34086.0,15923.0,504.80000000000007,0.03170256861144257
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Sonoma,2023,215631.0,398382.0,284240.0,0.7134860510766049,121683.0,81756.6,13232.4,0.16185115330138483
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,area_type,rural,2023,216418.0,479110.8,371193.39999999997,0.7747548166311424,75501.0,50157.8,8530.2,0.17006726770312894
