modelrun_id,modelrun_alias,area,total_households,total_jobs,hh_growth,jobs_growth,hh_share_of_growth,jobs_share_of_growth
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,HRA,1138568.5999999996,1384330.6000000003,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,TRA,1112576.2000000002,1972134.8000000003,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,HRAandTRA,429183.0,584953.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,GG,1373649.0000000005,2869387.400000001,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,nonGG,1485031.6000000008,1233077.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,PBA50GG,1154664.0,2467565.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,PBA50nonGG,1704016.6,1634899.0000000007,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,GG_nonPDA,555537.9999999999,899085.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,PDA,818111.0000000001,1970302.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,EPC_18,573484.0,1072547.4000000001,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,nonEPC_18,2285196.600000001,3029917.0,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,EPC_22,522877.5999999999,946069.7999999999,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,nonEPC_22,2335803.0000000014,3156394.599999998,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,PPA,2117.2,247727.40000000002,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Region,2858680.5999999996,4102464.4,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,TOC,912852.7999999998,1791880.0000000002,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,nonTOC,1945827.7999999998,2310584.400000001,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,HRA,1434914.0,1765849.0,296345.4000000004,381518.3999999997,0.3162193430005016,0.28617716204857235
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,TRA,1576257.0,2670101.0,463680.7999999998,697966.1999999997,0.49477683115022786,0.52354483118462
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,HRAandTRA,563630.0,781093.0,134447.0,196140.0,0.14346347879328777,0.14712472206899335
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,GG,1995395.0,3863497.0,621745.9999999995,994109.5999999992,0.663442427765673,0.7456821586933722
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,nonGG,1800437.0,1572122.0,315405.3999999992,339045.0,0.3365575722343253,0.25431784130662716
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,PBA50GG,1724189.0,3354929.0,569525.0,887363.6000000001,0.607719307680701,0.6656119252785836
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,PBA50nonGG,2071643.0,2080690.0,367626.3999999999,445790.9999999993,0.3922806923192984,0.33438807472141585
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,GG_nonPDA,672425.0,1177296.0,116887.00000000012,278211.0,0.1247258447247692,0.20868622438837925
