modelrun_id,modelrun_alias,county,total_households,total_jobs,hh_growth,jobs_growth,hh_share_of_growth,jobs_share_of_growth
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Alameda,603779.2504189407,896349.0060664299,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Contra Costa,403349.0850082645,414013.26900016854,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Marin,107721.07007357705,126423.0754160161,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Napa,50843.15072887862,67022.40247853984,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,San Francisco,407111.6346599319,740261.1068997106,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,San Mateo,288092.1088827123,415871.13435043284,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Santa Clara,662513.9292800567,1100435.6948574435,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Solano,146225.11522972802,126316.6372977369,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2023 No Project,Sonoma,189045.25571790972,215772.0736335219,,,,
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Alameda,763015.2068697038,1138945.9801427952,159235.95645076316,242596.97407636535,0.16991486802534056,0.18197212392048562
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Contra Costa,529447.5556642638,528183.1422662904,126098.47065599926,114169.87326612184,0.13455506832300443,0.08563888484210448
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Marin,129259.68254714618,135395.4089645618,21538.612473569126,8972.333548545692,0.022983065995066672,0.006730152338330224
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Napa,61070.67037703773,75157.20625286632,10227.519648159105,8134.803774326487,0.010913412334612212,0.006101920793227199
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,San Francisco,515395.958969439,986252.7698349367,108284.3243095071,245991.6629352261,0.11554624397883531,0.18451848190391884
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,San Mateo,353566.98636865616,587767.1255656267,65474.87748594384,171895.99121519382,0.06986584823534792,0.12893927772157399
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Santa Clara,1061776.4640149707,1565818.144694243,399262.53473491396,465382.44983679964,0.4260384551897526,0.3490836320384746
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Solano,173690.54115997415,149389.1021747964,27465.42593024613,23072.464877059494,0.029307351971352893,0.017306668616722698
