modelrun_id,modelrun_alias,superdistrict,total_households,total_jobs,hh_growth,jobs_growth,hh_share_of_growth,jobs_share_of_growth
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,11.0,249950.0,258309.0,135603.0,81164.20000000001,0.14469651005287706,0.060892821425961675
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,12.0,165071.0,133777.0,51767.8,19444.399999999994,0.055239338311949805,0.014588012657488998
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,13.0,95993.0,66412.0,21573.199999999997,13156.400000000001,0.02301989447632226,0.009870488661362056
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,14.0,68913.0,59626.0,32095.0,12294.199999999997,0.03424728427945613,0.009223629693572507
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,15.0,120572.0,157442.0,34679.600000000006,22765.600000000006,0.03700520703841181,0.01707971760277158
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,16.0,145877.0,182865.0,33271.399999999994,40250.0,0.035502573428119535,0.03019725522329989
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,17.0,147388.0,198546.0,20769.199999999997,37732.20000000001,0.02216197839716093,0.028308294994698047
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,18.0,244767.0,391358.0,45580.0,101845.59999999998,0.04863658568180746,0.07640888388994063
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,19.0,103929.0,208536.0,24963.199999999997,39996.399999999994,0.026637227198159186,0.030006993759333953
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,20.0,116330.0,109858.0,22520.199999999997,26541.0,0.024030400106876706,0.019912182630598817
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,21.0,123334.0,174809.0,34682.600000000006,51625.399999999994,0.037008408217811664,0.03873156223117878
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,22.0,82490.0,101351.0,19914.4,16398.399999999994,0.021249855680162057,0.01230277441127356
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,23.0,74092.0,76781.0,17165.4,9369.199999999997,0.01831650829009429,0.007029170773618416
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,24.0,132974.0,65022.0,31814.600000000006,10153.199999999997,0.03394808071154962,0.007617360788402692
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,25.0,60177.0,50069.0,7640.199999999997,6595.800000000003,0.008152550283592479,0.004948448596319044
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,26.0,113356.0,99257.0,19825.800000000003,16471.199999999997,0.02115531418188632,0.012357392055503529
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,27.0,44305.0,55219.0,9082.800000000003,9016.599999999999,0.009691890751003091,0.006764635315438652
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,28.0,16810.0,19926.0,1156.0,-882.4000000000015,0.0012335211287443928,-0.0006620138635786302
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,29.0,73084.0,85845.0,7206.800000000003,14916.399999999994,0.007690086566293333,0.011190915225163486
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,30.0,95949.0,140087.0,8624.800000000003,27387.199999999997,0.009203177362625123,0.020547037720535618
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,31.0,39482.0,42688.0,3753.800000000003,10621.599999999999,0.004005529077059433,0.007968774312541666
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,32.0,32135.0,30915.0,9123.0,3550.0,0.009734786554961156,0.0026633603985767606
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,33.0,50777.0,60990.0,7060.199999999997,2594.199999999997,0.007533655599620379,0.001946278745348683
PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,34.0,46284.0,43445.0,5361.0,2828.0,0.005720507587542119,0.002121685410471853
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,1.0,98749.4,404227.4,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,2.0,109761.4,111686.6,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,3.0,145624.2,192930.0,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,4.0,52757.2,31142.0,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,5.0,105090.2,135130.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,6.0,95151.2,115734.4,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,7.0,87633.0,164867.0,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,8.0,76723.6,174223.2,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,9.0,122765.8,391061.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,10.0,123834.4,142996.0,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,11.0,114347.0,177144.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,12.0,113303.2,114332.6,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,13.0,74419.8,53255.6,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,14.0,36818.0,47331.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,15.0,85892.4,134676.4,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,16.0,112605.6,142615.0,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,17.0,126618.8,160813.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,18.0,199187.0,289512.4,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,19.0,78965.8,168539.6,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,20.0,93809.8,83317.0,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,21.0,88651.4,123183.6,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,22.0,62575.6,84952.6,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,23.0,56926.6,67411.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,24.0,101159.4,54868.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,25.0,52536.8,43473.2,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,26.0,93530.2,82785.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,27.0,35222.2,46202.4,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,28.0,15654.0,20808.4,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,29.0,65877.2,70928.6,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,30.0,87324.2,112699.8,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,31.0,35728.2,32066.4,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,32.0,23012.0,27365.0,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,33.0,43716.8,58395.8,,,,
