year,geography,modelrun_id,modelrun_alias,county,jobs_office,job_spaces_office,job_spaces_office_vacant,job_spaces_office_vacant_percent,jobs,job_spaces,job_spaces_vacant,job_spaces_vacant_percent
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Marin,79428.6,94160.6,14732.0,0.15645609734857255,127546.0,148776.0,21232.0,0.14271118997687798
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Napa,6647.8,9976.8,3329.0,0.3336741239676049,67012.0,96325.4,29313.0,0.3043122582413362
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,San Francisco,505439.39999999997,645806.4,140367.0,0.21735151587224902,740334.0,987019.7999999999,246695.0,0.24993926160346533
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,San Mateo,237111.4,337146.39999999997,100035.0,0.29671086507226535,416085.0,538629.0,122549.0,0.22752024120498526
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Santa Clara,511778.4,738283.4,226505.0,0.30679952982824754,1107401.0,1514004.6,406622.0,0.2685738207136226
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Solano,33577.4,43821.4,10244.0,0.23376706358080754,126588.0,169900.8,43309.0,0.2549075695935511
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Sonoma,120652.59999999999,162447.6,41795.0,0.2572829638603463,215792.0,279650.8,63859.0,0.22835264551361914
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Region,2139596.0,2843820.0,704224.0,0.2476331132068837,4111710.0,5542500.8,1430820.0,0.25815422525514115
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Alameda,637637.0,688598.0,50961.0,0.07400689516960549,1131385.0,1417377.0,285992.0,0.2017755332561485
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Contra Costa,298279.0,334517.0,36238.0,0.10832932257553428,532773.0,662645.0,129872.0,0.19599031155445223
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Marin,95358.0,106827.0,11469.0,0.10736049875031593,139397.0,160833.0,21436.0,0.133281105245814
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Napa,8977.0,11761.0,2784.0,0.23671456508800273,70928.0,101393.0,30465.0,0.3004645291095046
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,San Francisco,784322.0,822428.0,38106.0,0.04633353922775003,1025610.0,1176738.0,151128.0,0.12842960795011293
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,San Mateo,419561.0,448346.0,28785.0,0.06420264706275956,604118.0,657747.0,53629.0,0.08153438936247524
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Santa Clara,856411.0,946204.0,89793.0,0.09489814035873871,1539810.0,1787119.0,247309.0,0.1383841814674904
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Solano,43607.0,54078.0,10471.0,0.193627722918747,143488.0,201425.0,57937.0,0.28763559637582226
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Sonoma,149819.0,189359.0,39540.0,0.20880972121737018,247893.0,311929.0,64036.0,0.2052903064479417
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v69_no_ubi,2050 Final Blueprint,Region,3293971.0,3602118.0,308147.0,0.08554605929067288,5435402.0,6477206.0,1041804.0,0.1608415727398511
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Alameda,443645.2,557679.2,114034.0,0.2044795645955596,896644.0,1261570.6,364924.0,0.28926165527319675
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Contra Costa,201315.2,254498.2,53183.0,0.20897200844642516,414308.0,546623.8,132317.0,0.2420622739075759
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Marin,79428.6,94160.6,14732.0,0.15645609734857255,127546.0,148776.0,21232.0,0.14271118997687798
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Napa,6647.8,9976.8,3329.0,0.3336741239676049,67012.0,96325.4,29313.0,0.3043122582413362
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,San Francisco,505439.39999999997,645806.4,140367.0,0.21735151587224902,740334.0,987019.7999999999,246695.0,0.24993926160346533
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,San Mateo,237111.4,337146.39999999997,100035.0,0.29671086507226535,416085.0,538629.0,122549.0,0.22752024120498526
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Santa Clara,511778.4,738283.4,226505.0,0.30679952982824754,1107401.0,1514004.6,406622.0,0.2685738207136226
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Solano,33577.4,43821.4,10244.0,0.23376706358080754,126588.0,169900.8,43309.0,0.2549075695935511
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Sonoma,120652.59999999999,162447.6,41795.0,0.2572829638603463,215792.0,279650.8,63859.0,0.22835264551361914
2023,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Region,2139596.0,2843820.0,704224.0,0.2476331132068837,4111710.0,5542500.8,1430820.0,0.25815422525514115
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Alameda,618416.0,637887.0,19471.0,0.030524215103929067,1108622.0,1311366.0,202744.0,0.15460519793863803
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Contra Costa,293172.0,310279.0,17107.0,0.05513425014261358,526047.0,617428.0,91381.0,0.14800268209410652
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Marin,90426.0,95543.0,5117.0,0.05355703714557843,127760.0,140883.0,13123.0,0.0931482151856505
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Napa,9185.0,10777.0,1592.0,0.1477220005567412,72459.0,96623.0,24164.0,0.2500853833973278
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,San Francisco,729339.0,741371.0,12032.0,0.016229391222478354,959510.0,1060453.0,100943.0,0.09518856564128726
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,San Mateo,414953.0,425414.0,10461.0,0.02459016393442623,592834.0,620710.0,27876.0,0.04490986128788001
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Santa Clara,910534.0,948293.0,37759.0,0.03981786220081768,1620400.0,1767894.0,147494.0,0.08342921012232633
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Solano,47934.0,53869.0,5935.0,0.11017468302734411,159516.0,202193.0,42677.0,0.21107061075309233
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Sonoma,165622.0,190447.0,24825.0,0.13035122632543436,268245.0,313131.0,44886.0,0.14334575624898205
2050,county,PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 EIR Alt1,Region,3279581.0,3413880.0,134299.0,0.03933910975195379,5435393.0,6130681.0,695288.0,0.1134112181012191
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Alameda,443645.2,557679.2,114034.0,0.2044795645955596,896644.0,1261570.6,364924.0,0.28926165527319675
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Contra Costa,201315.2,254498.2,53183.0,0.20897200844642516,414308.0,546623.8,132317.0,0.2420622739075759
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Marin,79428.6,94160.6,14732.0,0.15645609734857255,127546.0,148776.0,21232.0,0.14271118997687798
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Napa,6647.8,9976.8,3329.0,0.3336741239676049,67012.0,96325.4,29313.0,0.3043122582413362
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,San Francisco,505439.39999999997,645806.4,140367.0,0.21735151587224902,740334.0,987019.7999999999,246695.0,0.24993926160346533
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,San Mateo,237111.4,337146.39999999997,100035.0,0.29671086507226535,416085.0,538629.0,122549.0,0.22752024120498526
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Santa Clara,511778.4,738283.4,226505.0,0.30679952982824754,1107401.0,1514004.6,406622.0,0.2685738207136226
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Solano,33577.4,43821.4,10244.0,0.23376706358080754,126588.0,169900.8,43309.0,0.2549075695935511
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Sonoma,120652.59999999999,162447.6,41795.0,0.2572829638603463,215792.0,279650.8,63859.0,0.22835264551361914
2023,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Region,2139596.0,2843820.0,704224.0,0.2476331132068837,4111710.0,5542500.8,1430820.0,0.25815422525514115
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Alameda,623346.0,658629.0,35283.0,0.053570371180133275,1116850.0,1360877.0,244027.0,0.1793159852065984
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Contra Costa,300317.0,327994.0,27677.0,0.08438264114587463,532851.0,644804.0,111953.0,0.17362330258497155
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Marin,90724.0,99400.0,8676.0,0.08728370221327968,131355.0,148608.0,17253.0,0.11609738372093023
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Napa,9083.0,11331.0,2248.0,0.19839378695613802,71717.0,99793.0,28076.0,0.2813423787239586
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,San Francisco,733411.0,757140.0,23729.0,0.03134030694455451,967109.0,1075673.0,108564.0,0.10092658270682633
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,San Mateo,426673.0,446532.0,19859.0,0.04447385629697312,601708.0,643207.0,41499.0,0.06451888738773054
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Santa Clara,910569.0,976313.0,65744.0,0.0673390603218435,1604927.0,1802647.0,197720.0,0.10968314927992003
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Solano,45684.0,54075.0,8391.0,0.15517337031900139,150386.0,202429.0,52043.0,0.2570926102485316
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Sonoma,158973.0,192818.0,33845.0,0.1755282183198664,258480.0,314830.0,56350.0,0.1789854842295842
2050,county,PBA50Plus_EIR/PBA50Plus_EIR_Alt2_Var4_v1,2050 EIR Alt2,Region,3298780.0,3524232.0,225452.0,0.06397195190327992,5435383.0,6292868.0,857485.0,0.1362629885133456
