year,geography,modelrun_id,modelrun_alias,superdistrict,jobs_office,job_spaces_office,job_spaces_office_vacant,job_spaces_office_vacant_percent,jobs,job_spaces,job_spaces_vacant,job_spaces_vacant_percent
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,1,284237.4,358281.4,74044.0,0.20666437051993208,404694.0,528640.4,123949.0,0.2344675132661068
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,10,73700.0,109155.0,35455.0,0.324813338830104,144207.0,206432.6,62230.0,0.30145432455920235
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,11,91657.0,128753.0,37096.0,0.2881175584258231,180728.0,256035.4,75310.0,0.2941390135895271
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,12,34085.8,45169.8,11084.0,0.2453851909904405,114343.0,149210.8,34870.0,0.23369622038083035
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,13,18485.0,25840.0,7355.0,0.28463622291021673,52987.0,72203.0,19221.0,0.2662077753001953
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,14,7649.2,11460.2,3811.0,0.3325421894905848,47823.0,61687.2,13865.0,0.22476299783423467
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,15,55387.4,68784.4,13397.0,0.19476799972086695,134850.0,181090.2,46240.0,0.2553423652964103
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,16,30940.6,42661.6,11721.0,0.27474356329814165,142661.0,225686.8,83027.0,0.3678859375027693
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,17,52452.6,67725.6,15273.0,0.2255129522662036,160814.0,241708.0,80896.0,0.33468482631936053
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,18,187552.0,240640.0,53088.0,0.22061170212765957,289802.0,406621.4,116815.0,0.28728197778080544
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,19,117312.6,137867.6,20555.0,0.14909231755684438,168517.0,206464.2,37946.0,0.18378973206977287
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,2,72183.4,91784.4,19601.0,0.21355480887819717,111688.0,154284.0,42598.0,0.2761012159394364
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,20,35143.799999999996,48544.8,13401.0,0.27605428387798486,83524.0,123426.6,39904.0,0.3233014601390624
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,21,65493.6,80621.6,15128.0,0.18764202149299938,123178.0,154207.2,31029.0,0.20121628562090485
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,22,49334.600000000006,59226.6,9892.0,0.16701954864874904,84962.0,99989.6,15029.0,0.15030563178570572
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,23,35012.6,39640.6,4628.0,0.11674898967220476,67410.0,86766.4,19356.0,0.22308174592929983
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,24,16330.6,26464.6,10134.0,0.3829266265123977,55234.0,82234.0,26999.0,0.3283191867110927
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,25,10685.8,13549.8,2864.0,0.21136843348241305,43404.0,54222.4,10817.0,0.19949319838295612
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,26,22891.6,30271.6,7380.0,0.24379286195642122,83184.0,115678.40000000001,32492.0,0.2808821698778683
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,27,4331.4,7088.4,2757.0,0.3889453191129169,46203.0,72183.6,25980.0,0.3599155486841886
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,28,2316.4,2888.4,572.0,0.1980335133638,20809.0,24141.8,3333.0,0.1380592996379723
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,29,36356.4,47480.4,11124.0,0.23428614754719843,70956.0,91144.8,20189.0,0.22150468265880224
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,3,130846.59999999999,173387.6,42541.0,0.2453520320945673,192807.0,266635.0,73834.0,0.2769103831079941
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,30,65513.6,87262.6,21749.0,0.24923621345226935,112703.0,145128.8,32426.0,0.22342911951314973
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,31,18782.6,27704.6,8922.0,0.3220403831854638,32133.0,43377.2,11244.0,0.2592145182261649
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,32,18825.0,21859.0,3034.0,0.13879866416578984,27365.0,31224.0,3859.0,0.12359082756853702
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,33,34737.6,41248.6,6511.0,0.15784778150046305,58400.0,67979.8,9582.0,0.1409536362272322
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,34,25866.0,31053.0,5187.0,0.1670370012559173,41781.0,49572.2,7791.0,0.15716470118332454
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,4,18172.0,22353.0,4181.0,0.1870442446204089,31145.0,37460.4,6314.0,0.16855132353098204
2023,superdistrict,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,5,63018.6,97689.6,34671.0,0.35490983687106914,135259.0,185158.8,49898.0,0.26948759659276256
