,number,name,sqft_per_job_factor
0,15,Tri Valley,0.9585751865516839
1,16,Fremont,0.9585751865516839
2,17,S Leandro Hayward,0.9585751865516839
3,18,Oakland Alameda,0.9585751865516839
4,19,Berkeley Eville,0.9585751865516839
5,20,Richmond Pinole,0.9500527075911646
6,21,Martinez Concord,0.9500527075911646
7,22,Lamorinda WC,0.9500527075911646
8,23,S Ramon Danville,0.9500527075911646
9,24,East Contra Costa,0.9500527075911646
10,32,Northern Marin,0.9751372292932389
11,33,Central Marin,0.9751372292932389
12,34,Southern Marin,0.9751372292932389
13,27,Napa City and S,1.0243142528808604
14,28,Napa Remainder,1.0243142528808604
15,1,SF NE,1.1771265643511166
16,2,SF NW,1.1771265643511166
17,3,SF S SE,1.1771265643511166
18,4,SF SW,1.1771265643511166
19,5,Daly City Millbrae,1.0446278970455416
20,6,San Mateo,1.0446278970455416
21,7,Redwood City,1.0446278970455416
22,8,Palo Alto,1.0667595583355123
23,9,Golden Triangle,1.0667595583355123
24,10,West San Jose,1.0667595583355123
25,11,San Jose CBD,1.0667595583355123
26,12,East San Jose,1.0667595583355123
27,13,South San Jose,1.0667595583355123
28,14,SE Snta Clara Cnty,1.0667595583355123
29,25,Vallejo Benicia,0.9909674224398762
30,26,Solano Remainder,0.9909674224398762
31,29,Southern Sonoma,1.0109573108262693
32,30,Santa Rosa Area,1.0109573108262693
33,31,Northern Sonoma,1.0109573108262693
