,number,name,sqft_per_job_factor
1,1,SF NE,1.5
2,2,SF NW,1.5
3,3,SF S SE,1.5
4,4,SF SW,1.5
5,5,Daly City Millbrae,1.5
6,6,San Mateo,1.5
7,7,Redwood City,1.5
8,8,Palo Alto,1.5
9,9,Golden Triangle,1.5
10,10,West San Jose,1.5
11,11,San Jose CBD,1.5
12,12,East San Jose,1.5
13,13,South San Jose,1.5
14,14,SE Snta Clara Cnty,1.5
15,15,Tri Valley,1.5
16,16,Fremont,1.5
17,17,S Leandro Hayward,1.5
18,18,Oakland Alameda,1.5
19,19,Berkeley Eville,1.5
20,20,Richmond Pinole,1.5
21,21,Martinez Concord,1.5
22,22,Lamorinda WC,1.5
23,23,S Ramon Danville,1.5
24,24,East Contra Costa,1.5
25,25,Vallejo Benicia,1.5
26,26,Solano Remainder,1.5
27,27,Napa City and S,1.5
28,28,Napa Remainder,1.5
29,29,Southern Sonoma,1.5
30,30,Santa Rosa Area,1.5
31,31,Northern Sonoma,1.5
32,32,Northern Marin,1.5
33,33,Central Marin,1.5
34,34,Southern Marin,1.5
