,number,name,sqft_per_job_factor
0,15,Tri Valley,0.9171503731033679
1,16,Fremont,0.9171503731033679
2,17,S Leandro Hayward,0.9171503731033679
3,18,Oakland Alameda,0.9171503731033679
4,19,Berkeley Eville,0.9171503731033679
5,20,Richmond Pinole,0.9001054151823292
6,21,Martinez Concord,0.9001054151823292
7,22,Lamorinda WC,0.9001054151823292
8,23,S Ramon Danville,0.9001054151823292
9,24,East Contra Costa,0.9001054151823292
10,32,Northern Marin,0.9502744585864777
11,33,Central Marin,0.9502744585864777
12,34,Southern Marin,0.9502744585864777
13,27,Napa City and S,1.0486285057617208
14,28,Napa Remainder,1.0486285057617208
15,1,SF NE,1.354253128702233
16,2,SF NW,1.354253128702233
17,3,SF S SE,1.354253128702233
18,4,SF SW,1.354253128702233
19,5,Daly City Millbrae,1.0892557940910832
20,6,San Mateo,1.0892557940910832
21,7,Redwood City,1.0892557940910832
22,8,Palo Alto,1.1335191166710246
23,9,Golden Triangle,1.1335191166710246
24,10,West San Jose,1.1335191166710246
25,11,San Jose CBD,1.1335191166710246
26,12,East San Jose,1.1335191166710246
27,13,South San Jose,1.1335191166710246
28,14,SE Snta Clara Cnty,1.1335191166710246
29,25,Vallejo Benicia,0.9819348448797525
30,26,Solano Remainder,0.9819348448797525
31,29,Southern Sonoma,1.0219146216525388
32,30,Santa Rosa Area,1.0219146216525388
33,31,Northern Sonoma,1.0219146216525388
