number,name,sqft_per_job_factor_2010,sqft_per_job_factor_2015,sqft_per_job_factor_2020,sqft_per_job_factor_2025,sqft_per_job_factor_2030,sqft_per_job_factor_2035,sqft_per_job_factor_2040,sqft_per_job_factor_2045,sqft_per_job_factor_2050
15,Tri Valley,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
16,Fremont,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
17,S Leandro Hayward,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
18,Oakland Alameda,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
19,Berkeley Eville,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
20,Richmond Pinole,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
21,Martinez Concord,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
22,Lamorinda WC,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
23,S Ramon Danville,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
24,East Contra Costa,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
32,Northern Marin,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
33,Central Marin,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
34,Southern Marin,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
27,Napa City and S,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
28,Napa Remainder,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
1,SF NE,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
2,SF NW,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
3,SF S SE,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
4,SF SW,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
5,Daly City Millbrae,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
6,San Mateo,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
7,Redwood City,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
8,Palo Alto,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
9,Golden Triangle,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
10,West San Jose,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
11,San Jose CBD,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
12,East San Jose,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
13,South San Jose,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
14,SE Snta Clara Cnty,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
25,Vallejo Benicia,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
26,Solano Remainder,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
29,Southern Sonoma,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
30,Santa Rosa Area,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
31,Northern Sonoma,1.0,1.0,1.0,1.125,1.375,1.5,1.5,1.5,1.5
