,number,name,sqft_per_job_factor
0,15,Tri Valley,1.2847559413469094
1,16,Fremont,1.2847559413469094
2,17,S Leandro Hayward,1.2847559413469094
3,18,Oakland Alameda,1.2847559413469094
4,19,Berkeley Eville,1.2847559413469094
5,20,Richmond Pinole,1.2064193581577198
6,21,Martinez Concord,1.2064193581577198
7,22,Lamorinda WC,1.2064193581577198
8,23,S Ramon Danville,1.2064193581577198
9,24,East Contra Costa,1.2064193581577198
10,32,Northern Marin,1.394117859054026
11,33,Central Marin,1.394117859054026
12,34,Southern Marin,1.394117859054026
13,27,Napa City and S,0.669961472439443
14,28,Napa Remainder,0.669961472439443
15,1,SF NE,0.8542892900510642
16,2,SF NW,0.8542892900510642
17,3,SF S SE,0.8542892900510642
18,4,SF SW,0.8542892900510642
19,5,Daly City Millbrae,1.453403030253179
20,6,San Mateo,1.453403030253179
21,7,Redwood City,1.453403030253179
22,8,Palo Alto,1.4472473110622308
23,9,Golden Triangle,1.4472473110622308
24,10,West San Jose,1.4472473110622308
25,11,San Jose CBD,1.4472473110622308
26,12,East San Jose,1.4472473110622308
27,13,South San Jose,1.4472473110622308
28,14,SE Snta Clara Cnty,1.4472473110622308
29,25,Vallejo Benicia,0.9017394720555391
30,26,Solano Remainder,0.9017394720555391
31,29,Southern Sonoma,1.058308048740294
32,30,Santa Rosa Area,1.058308048740294
33,31,Northern Sonoma,1.058308048740294
