,number,name,sqft_per_job_factor
0,15,Tri Valley,0.9299569301929463
1,16,Fremont,0.9299569301929463
2,17,S Leandro Hayward,0.9299569301929463
3,18,Oakland Alameda,0.9299569301929463
4,19,Berkeley Eville,0.9299569301929463
5,20,Richmond Pinole,0.9005470470977179
6,21,Martinez Concord,0.9005470470977179
7,22,Lamorinda WC,0.9005470470977179
8,23,S Ramon Danville,0.9005470470977179
9,24,East Contra Costa,0.9005470470977179
10,32,Northern Marin,0.9660674744019556
11,33,Central Marin,0.9660674744019556
12,34,Southern Marin,0.9660674744019556
13,27,Napa City and S,0.6029452001888169
14,28,Napa Remainder,0.6029452001888169
15,1,SF NE,0.639980780768819
16,2,SF NW,0.639980780768819
17,3,SF S SE,0.639980780768819
18,4,SF SW,0.639980780768819
19,5,Daly City Millbrae,1.1208760411314316
20,6,San Mateo,1.1208760411314316
21,7,Redwood City,1.1208760411314316
22,8,Palo Alto,1.1236721383988013
23,9,Golden Triangle,1.1236721383988013
24,10,West San Jose,1.1236721383988013
25,11,San Jose CBD,1.1236721383988013
26,12,East San Jose,1.1236721383988013
27,13,South San Jose,1.1236721383988013
28,14,SE Snta Clara Cnty,1.1236721383988013
29,25,Vallejo Benicia,0.7531756170578108
30,26,Solano Remainder,0.7531756170578108
31,29,Southern Sonoma,0.8970428333146178
32,30,Santa Rosa Area,0.8970428333146178
33,31,Northern Sonoma,0.8970428333146178
