,number,name,sqft_per_job_factor
0,15,Tri Valley,1.1794710435550375
1,16,Fremont,1.1794710435550375
2,17,S Leandro Hayward,1.1794710435550375
3,18,Oakland Alameda,1.1794710435550375
4,19,Berkeley Eville,1.1794710435550375
5,20,Richmond Pinole,1.0926608528349548
6,21,Martinez Concord,1.0926608528349548
7,22,Lamorinda WC,1.0926608528349548
8,23,S Ramon Danville,1.0926608528349548
9,24,East Contra Costa,1.0926608528349548
10,32,Northern Marin,1.173243186397702
11,33,Central Marin,1.173243186397702
12,34,Southern Marin,1.173243186397702
13,27,Napa City and S,1.1025834728382258
14,28,Napa Remainder,1.1025834728382258
15,1,SF NE,1.7187304924694395
16,2,SF NW,1.7187304924694395
17,3,SF S SE,1.7187304924694395
18,4,SF SW,1.7187304924694395
19,5,Daly City Millbrae,1.3291894661308294
20,6,San Mateo,1.3291894661308294
21,7,Redwood City,1.3291894661308294
22,8,Palo Alto,1.3984158497899937
23,9,Golden Triangle,1.3984158497899937
24,10,West San Jose,1.3984158497899937
25,11,San Jose CBD,1.3984158497899937
26,12,East San Jose,1.3984158497899937
27,13,South San Jose,1.3984158497899937
28,14,SE Snta Clara Cnty,1.3984158497899937
29,25,Vallejo Benicia,1.0978536761104518
30,26,Solano Remainder,1.0978536761104518
31,29,Southern Sonoma,1.1013926874642186
32,30,Santa Rosa Area,1.1013926874642186
33,31,Northern Sonoma,1.1013926874642186
