number,name,sqft_per_job_factor_2015,sqft_per_job_factor_2020,sqft_per_job_factor_2025,sqft_per_job_factor_2030,sqft_per_job_factor_2035,sqft_per_job_factor_2040,sqft_per_job_factor_2045,sqft_per_job_factor_2050,sqft_per_job_factor_2010
15,Tri Valley,0.8568645463154497,0.8344821814162339,0.7667115563926459,0.7283759785730136,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.9588709065579734
16,Fremont,0.8568645463154497,0.8344821814162339,0.7667115563926459,0.7283759785730136,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.9588709065579734
17,S Leandro Hayward,0.8568645463154497,0.8344821814162339,0.7667115563926459,0.7283759785730136,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.9588709065579734
18,Oakland Alameda,0.8568645463154497,0.8344821814162339,0.7667115563926459,0.7283759785730136,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.9588709065579734
19,Berkeley Eville,0.8568645463154497,0.8344821814162339,0.7667115563926459,0.7283759785730136,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.6900404007533812,0.9588709065579734
20,Richmond Pinole,0.948917543173913,0.854964478866067,0.8289577134975491,0.7875098278226716,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.9804828337026759
21,Martinez Concord,0.948917543173913,0.854964478866067,0.8289577134975491,0.7875098278226716,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.9804828337026759
22,Lamorinda WC,0.948917543173913,0.854964478866067,0.8289577134975491,0.7875098278226716,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.9804828337026759
23,S Ramon Danville,0.948917543173913,0.854964478866067,0.8289577134975491,0.7875098278226716,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.9804828337026759
24,East Contra Costa,0.948917543173913,0.854964478866067,0.8289577134975491,0.7875098278226716,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.7460619421477942,0.9804828337026759
32,Northern Marin,1.0321933763278044,1.1238097828017002,1.0932896128543612,1.0386251322116433,0.9839606515689252,0.9839606515689252,0.9839606515689252,0.9839606515689252,0.988347447147451
33,Central Marin,1.0321933763278044,1.1238097828017002,1.0932896128543612,1.0386251322116433,0.9839606515689252,0.9839606515689252,0.9839606515689252,0.9839606515689252,0.988347447147451
34,Southern Marin,1.0321933763278044,1.1238097828017002,1.0932896128543612,1.0386251322116433,0.9839606515689252,0.9839606515689252,0.9839606515689252,0.9839606515689252,0.988347447147451
27,Napa City and S,0.9834125271352218,0.9101765423973571,0.8563828582652776,0.8135637153520138,0.7707445724387498,0.7707445724387498,0.7707445724387498,0.7707445724387498,0.9756879203298623
28,Napa Remainder,0.9834125271352218,0.9101765423973571,0.8563828582652776,0.8135637153520138,0.7707445724387498,0.7707445724387498,0.7707445724387498,0.7707445724387498,0.9756879203298623
1,SF NE,1.1106837531894096,0.9600655109468962,0.8541862740921253,0.8114769603875192,0.7687676466829128,0.7687676466829128,0.7687676466829128,0.7687676466829128,1.2673708880259908
2,SF NW,1.1106837531894096,0.9600655109468962,0.8541862740921253,0.8114769603875192,0.7687676466829128,0.7687676466829128,0.7687676466829128,0.7687676466829128,1.2673708880259908
3,SF S SE,1.1106837531894096,0.9600655109468962,0.8541862740921253,0.8114769603875192,0.7687676466829128,0.7687676466829128,0.7687676466829128,0.7687676466829128,1.2673708880259908
4,SF SW,1.1106837531894096,0.9600655109468962,0.8541862740921253,0.8114769603875192,0.7687676466829128,0.7687676466829128,0.7687676466829128,0.7687676466829128,1.2673708880259908
5,Daly City Millbrae,0.8438487033147372,0.7616238746540267,0.7133431928267363,0.6776760331853996,0.6420088735440628,0.6420088735440628,0.6420088735440628,0.6420088735440628,0.9556714142764859
6,San Mateo,0.8438487033147372,0.7616238746540267,0.7133431928267363,0.6776760331853996,0.6420088735440628,0.6420088735440628,0.6420088735440628,0.6420088735440628,0.9556714142764859
7,Redwood City,0.8438487033147372,0.7616238746540267,0.7133431928267363,0.6776760331853996,0.6420088735440628,0.6420088735440628,0.6420088735440628,0.6420088735440628,0.9556714142764859
8,Palo Alto,0.8384353138347472,0.8157888739018238,0.8317797033900096,0.7901907182205091,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.9098000072477063
9,Golden Triangle,0.8384353138347472,0.8157888739018238,0.8317797033900096,0.7901907182205091,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.9098000072477063
10,West San Jose,0.8384353138347472,0.8157888739018238,0.8317797033900096,0.7901907182205091,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.9098000072477063
11,San Jose CBD,0.8384353138347472,0.8157888739018238,0.8317797033900096,0.7901907182205091,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.9098000072477063
12,East San Jose,0.8384353138347472,0.8157888739018238,0.8317797033900096,0.7901907182205091,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.9098000072477063
13,South San Jose,0.8384353138347472,0.8157888739018238,0.8317797033900096,0.7901907182205091,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.9098000072477063
14,SE Snta Clara Cnty,0.8384353138347472,0.8157888739018238,0.8317797033900096,0.7901907182205091,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.7486017330510085,0.9098000072477063
