,number,name,sqft_per_job_factor
0,15,Tri Valley,1.0897355217775189
1,16,Fremont,1.0897355217775189
2,17,S Leandro Hayward,1.0897355217775189
3,18,Oakland Alameda,1.0897355217775189
4,19,Berkeley Eville,1.0897355217775189
5,20,Richmond Pinole,1.0463304264174775
6,21,Martinez Concord,1.0463304264174775
7,22,Lamorinda WC,1.0463304264174775
8,23,S Ramon Danville,1.0463304264174775
9,24,East Contra Costa,1.0463304264174775
10,32,Northern Marin,1.086621593198851
11,33,Central Marin,1.086621593198851
12,34,Southern Marin,1.086621593198851
13,27,Napa City and S,1.0512917364191128
14,28,Napa Remainder,1.0512917364191128
15,1,SF NE,1.3593652462347197
16,2,SF NW,1.3593652462347197
17,3,SF S SE,1.3593652462347197
18,4,SF SW,1.3593652462347197
19,5,Daly City Millbrae,1.1645947330654147
20,6,San Mateo,1.1645947330654147
21,7,Redwood City,1.1645947330654147
22,8,Palo Alto,1.1992079248949967
23,9,Golden Triangle,1.1992079248949967
24,10,West San Jose,1.1992079248949967
25,11,San Jose CBD,1.1992079248949967
26,12,East San Jose,1.1992079248949967
27,13,South San Jose,1.1992079248949967
28,14,SE Snta Clara Cnty,1.1992079248949967
29,25,Vallejo Benicia,1.0489268380552257
30,26,Solano Remainder,1.0489268380552257
31,29,Southern Sonoma,1.050696343732109
32,30,Santa Rosa Area,1.050696343732109
33,31,Northern Sonoma,1.050696343732109
