field name,info
Unnamed: 0,node_id in parcels
retail_sqft_3000,
sum_income_3000,
residential_units_500,
residential_units_1500,
office_1500,
retail_1500,
industrial_1500,
ave_sqft_per_unit,
ave_lot_size_per_unit,
population,
poor,
renters,
sfdu,
ave_hhsize,
jobs_500,
jobs_1500,
ave_income_1500,
ave_income_500,
retail_ratio,
